phrase,count,token_count
aqui e,16,2
i'll tell,16,2
i'll tell you,16,3
right so,16,2
all right so,16,3
would be,16,2
you would,16,2
is going,16,2
it's 35,16,2
yes to,16,2
say yes to,16,3
one of,16,2
i know,16,2
on your,16,2
from com keto,16,3
from com keto catering,16,4
call you,16,2
molho madeira,16,2
acho que,16,2
tipo de,16,2
gente pode,15,2
voce ta,15,2
nao tem,15,2
vou te mandar,15,3
para a,15,2
te falar,15,2
coisa que,15,2
how about,15,2
you have any,15,3
can i,15,2
de carne,15,2
get to know,15,3
trying to,15,2
andre here,15,2
going to have a,15,4
have you,15,2
is going to,15,3
35 per,15,2
35 per person,15,3
you say yes to,15,4
right i'm,15,2
all right i'm,15,3
take a,15,2
a look,15,2
take a look,15,3
give you a,15,3
dia 15,15,2
e eu,15,2
o preco,15,2
pure de,15,2
nao e,14,2
os aperitivos,14,2
a gente pode,14,3
quando a,14,2
gente faz,14,2
quando a gente,14,3
a gente faz,14,3
vai ser,14,2
o nosso,14,2
e a gente,14,3
a data,14,2
a couple,14,2
i'll send,14,2
we'll talk soon,14,3
you should,14,2
if you need,14,3
voce falou,14,2
com voce,14,2
me pediu,14,2
calling you,14,2
you could,14,2
so we can,14,3
ate mais,14,2
have a tasting,14,3
here from,14,2
andre here from,14,3
with a,14,2
come to,14,2
chicken salad,14,2
just now,14,2
the bill,14,2
the food,14,2
send you a,14,3
all the,14,2
for us,14,2
see that,14,2
ao molho,14,2
ao molho madeira,14,3
deixa eu te,14,3
tell me,14,2
and i'm,14,2
i got,14,2
voce vai ter,14,3
everything is,14,2
voce nao,13,2
voce ja,13,2
tem que,13,2
todos os,13,2
send it,13,2
it to,13,2
you need to,13,3
vamos la,13,2
pode colocar,13,2
eu vou fazer,13,3
frango com,13,2
com bacon,13,2
frango com bacon,13,3
would love,13,2
time for,13,2
i was,13,2
great food,13,2
you see,13,2
in a,13,2
you what,13,2
to say,13,2
tell you what,13,3
take care,13,2
catch you,13,2
we're going,13,2
we're going to,13,3
hold on,13,2
it's 35 per,13,3
it's 35 per person,13,4
towards the,13,2
at the,13,2
care of,13,2
is andre from,13,3
andre from conquito,13,3
this is andre from,13,4
go to,13,2
you right,13,2
us to,13,2
right then,13,2
i see that,13,3
to go,13,2
ou seja,13,2
some of,13,2
um pouquinho,12,2
forma que,12,2
alguma coisa,12,2
o dia,12,2
porque ai,12,2
assim que,12,2
no worries,12,2
me a text,12,3
send me a text,12,4
voce quer,12,2
andre aqui,12,2
de queijo,12,2
voce ver,12,2
i would love,12,3
would love to,12,3
best time,12,2
the best time,12,3
get the,12,2
right all,12,2
all right all,12,3
right all right,12,3
all right all right,12,4
about the,12,2
know our,12,2
come on,12,2
and everything,12,2
brazilian barbecue,12,2
so it's,12,2
towards the bill,12,3
quote for,12,2
you just,12,2
can do,12,2
thank you,12,2
you at,12,2
the event,12,2
right i'm gonna,12,3
all right i'm gonna,12,4
many people,12,2
be the,12,2
that we,12,2
for us to,12,3
here and,12,2
then and,12,2
and there,12,2
right then and,12,3
then and there,12,3
right then and there,12,4
i'm sorry,12,2
ai e,12,2
the 15th,12,2
que nao,12,2
bife ao,12,2
bife ao molho,12,3
bife ao molho madeira,12,4
in touch,12,2
eu tenho,12,2
and cheese,12,2
de repente,11,2
just give,11,2
just give me,11,3
any questions,11,2
okay so,11,2
need to talk,11,3
you need to talk,11,4
me a text message,11,4
send me a text message,11,5
voce pode colocar,11,3
o seguinte,11,2
por favor,11,2
que e o,11,3
i would love to,11,4
have a great,11,3
best time for,11,3
the best time for,11,4
de novo,11,2
i'll tell you what,11,4
up with a,11,3
you come to,11,3
guys are,11,2
you guys are,11,3
that's like,11,2
at 2pm,11,2
yes to a,11,3
to a quote,11,3
say yes to a,11,4
yes to a quote,11,4
you say yes to a,11,5
say yes to a quote,11,5
lot of,11,2
of different,11,2
a lot of,11,3
quote for you,11,3
take care of,11,3
did i,11,2
i catch,11,2
at a,11,2
did i catch,11,3
i catch you,11,3
did i catch you,11,4
at all,11,2
sent you a,11,3
can help,11,2
