normalized_question,count,example_question
beleza eu to escutando barulho voce ta dirigindo,1,"Beleza, eu tô escutando barulho, você tá dirigindo?"
mas voce ta hands free,1,Mas você tá hands-free?
nao ta com o telefone na mao nao ne,1,"Não tá com o telefone na mão não, né?"
eu vou mandar ele pra voce e assim que voce tiver um tempinho me liga aqui pra gente conversar tudo bem,1,"Eu vou mandar ele pra você e assim que você tiver um tempinho, me liga aqui pra gente conversar, tudo bem?"
after5,1,After5?
are you receiving my emails at all,1,Are you receiving my emails at all?
andre,1,Andre?
how about noosavani15ol com,1,How about Noosavani15ol.com?
is that you,1,Is that you?
can you give me a different email so you can get that,1,Can you give me a different email so you can get that?
hey is this ross,1,"Hey, is this Ross?"
how many people are you going to have on your event,1,How many people are you going to have on your event?
can i help,1,Can I help?
how much on gift cards do you have,1,How much on gift cards do you have?
is that something,1,Is that something?
you still need help with catering correct,1,"You still need help with catering, correct?"
